text,cm
Do you remember the card you picked?,FALSE
"All right, pencils down.  Pencils down.  I need you – I’ll explain this now.  All right, sit down, Student C, thank you. Student D, Student M, I don’t appreciate the talking. Put your pencils down.  Okay.  So, this is probably one of the easiest – I’ll wait for Christopher.  Thank you, Christopher, thank you.  This is probably one of the easiest steps.  It is really number of students, it’s just adding the total of boys and girls.  The different ways you can do it, the way I did it, is first I counted the number of boys.  Which is 13.  Then I counted the number of girls – and then added the two together.  And I got 37.  You could have done it differently.  You could have added everything and got 37.  And you could add the boys then add the girls.  I did it a different way, that’s all.  So show me a thumbs up if you got this, these numbers.  I got one, two, three [inaudible].  Thank you.  Set 4 plus 2 is 6, plus 1 is 7.  7 plus 6 is 13.  6 plus 5 is 11.  Plus 7 is 18.  18 plus 6 is 24.  What we’re gonna be doing today is I’m gonna be teaching you how to interpret a graph.  What does that mean, interpret?  Anybody know what interpret means?  Student C?",TRUE
"Subtract three.  So now, on your white boards I want you guys to try this one.  I have 5, 10, 20; what would my next answer be?",FALSE
How did you get that one?,FALSE
"I’m going from where I started from.So if I move this 9/10 of the way, will I land on one or will I go over?",FALSE
70 plus 90.,FALSE
"Okay, and how do we state our answer when it’s area?  Do we just put inches?",FALSE
8 by 7.  And what about the dimensions of the rectangle with the smallest area?,FALSE
"The number on the top.  So the numerator in this case is the number of gold medals, and the denominator is how many medals in all.  We have two eighths.  That would be our fraction.  Could we group this a different way?",FALSE
And then 450 and I needed – I had 62.,FALSE
"Go ahead, Student T.  Student T is working hard today.  She seems to keep answering.  Go ahead.  What’s your working definition that you’ve been using?",TRUE
"Oh, that one?",FALSE
That's right.  Why is it going to round to 2?,FALSE
You can do this one.,FALSE
"You multiply.  Remember how we do Five Minute Frenzy?  You’re gonna match up the numbers in the boxes and multiply them together.  So 30 times 10, 30 times 5.  How much is that?",FALSE
"Okay, now we’re going here.  All right, two-fourths.  They’re equivalent, correct?",FALSE
"Well, because 4 x 4 is 16.  Remember our basic facts.  Student G, do you need more tenths also?",FALSE
Think about it.  How many of them are there?,FALSE
Which is also equal to?,FALSE
What’s after 15?,FALSE
"Once you use your reflection mirror, pass it to someone else. So, look at the bottom of 291.  Can you read the words at the bottom of the page?",TRUE
Thank you.,FALSE
"A hexagon.  So, would you say it’s symmetrical?  Okay, so can I have – let me see.  Student L, come up here and draw a line of symmetry for me?  What kind of symmetry is this called, everyone?",FALSE
Addition.  I added.  What did you add?,FALSE
[Inaudible].  That would be no problem.  Finish your work. Look up here.  It says how would you explain to someone how solution two works?  Look at solution two.  What did they do in solution two?,FALSE
You can switch it.  Write it down.  170 dogs.  Come on. Student B likes animals.  What do you want to write about?,FALSE
"How are you guys doing?  Okay, but if you are on two different pages, then you’re not working together as a team.  You’ve got three-fourths and four-fifths.",TRUE
We can do a bar graph.,FALSE
