text,rationale
"76 – to get 70 plus 6 equals 76, right?  So we found 5 group – um, 70 groups of 5 and then 6 groups of 5 and put them together.   Student [G] is there a problem?  Put your legs the right way under the desk and pay attention!  And Student Z, if we wanted it to be an array, one side’s 5 and one side’s 76, but it’s like we split the 76 to 70 and 6. So 5 times 70 equals 350, and 5 times 6 equals 30. Then we add them.",0
Yes Student Z.  Please wait until I call on you.  The other side we did in school on Friday.  That’s why we didn’t review it.  Sorry.  [Inaudible] how many tissues you’ve had.  Okay.  These are word problems. I made this chart because you know every day we say –what are the three things in word problems?  Does anyone know the three – the list I make over here?  Can anyone tell me one of the things on it?  Student S?,1
"Okay.  That could be your problem.  Student [G], do you have a question?  Student N, sit up.",0
"Okay.  Any other questions about this?  I need everyone listening, looking, learning, ask a question if you’re confused; heads should be up.  Boy oh boy oh! Student K.[T.], can you read number two?",0
"Okay boys and girls; I’ve said this a million bazillion times. Do not erase your work.  When you erase your work, I can’t help you because I don’t know what you did.  Do not do your work in another notebook at home because then I can’t look at it.  Do not do your 10 minute math work not in your 10 minute math notebook, okay, because I don’t know what you did now so I can’t help you.  If you show me what you did, I will. Do you understand why this makes sense Student [G]?  Okay.  Good. And we’re gonna do number three; then we’re gonna move on from homework and come back to it if we have time. But I’d rather work on more word problems.  So number three, Student A, please read.",1
You can leave yours.Take that out of your mouth please.Stop playing with it!And I’d like you to take out your swirly math notebooks.I’m going to give you right now about 5 minutes – 3 to 5 minutes – for you and your partner to write a multiplication word problem and solve it.,0
"Begin.You two will work together.Student A, can you come over here and work with Student [Z]?You two can work together; you two, you two, you two, you two, you two, you two.No, Student A is gonna come work with you.Be careful Student A with the camera when you move.",0
Why?  I already said that everyone should have a pencil. You’re telling me you’re not prepared?,0
Go get a pencil from over there!,0
"But I don’t want Student C writing it.  I want you to work together.  You’re not just writing whatever he writes. Okay?  So you need to come up together with a story.  You can change it if it’s – I don’t want to be what he picked. It can be 59 times 7, but you need to work together to come up with 59 what – what are the groups and what’s in each group, okay?  Okay Student C?  Stop playing with that and focus. What’s your story, guys?",1
"Okay, those weren’t the instructions.  So that’s disappointing.",0
"I did and I said all three of you needed to work together. Alright, well this is a problem that we also already did.",0
"You may go get it.  Student A, can you please get Student N’s folder out of her desk, and Student J, can you please turn off a light.",0
